1,1,1,2019/1/1 8:00
2,2,3,2019/3/1 18:00
3,2,3,2020/4/1 10:00
4,2,4,2019/1/1 8:00
5,3,5,2019/3/1 18:00
6,6,6,2020/4/1 10:00
7,7,7,2019/1/1 8:00
8,8,8,2019/3/1 18:00
9,9,9,2020/4/1 10:00
10,10,10,2019/1/1 8:00
11,11,11,2019/3/1 18:00
12,12,12,2020/4/1 10:00
13,13,13,2019/1/1 8:00
14,14,14,2019/3/1 18:00
15,15,15,2020/4/1 10:00
16,16,16,2019/1/1 8:00
17,17,17,2019/3/1 18:00
18,18,18,2019/1/1 8:00
19,19,19,2019/3/1 18:00
20,20,20,2020/4/1 10:00
21,19,20,2019/1/1 8:00
22,22,22,2019/3/1 18:00
23,23,23,2020/4/1 10:00
24,24,24,2019/1/1 8:00
25,25,25,2019/3/1 18:00
26,26,26,2020/4/1 10:00
27,27,27,2019/1/1 8:00
28,28,28,2019/3/1 18:00
29,29,29,2020/4/1 10:00
30,30,30,2019/1/1 8:00
