1,登録名称1,1009101,TA101,CL請求書記載法人名称01,備考1
2,登録名称2,1009102,TA102,CL請求書記載法人名称02,
3,登録名称3,1009103,TA103,CL請求書記載法人名称03,備考3
4,登録名称4,1009104,TA104,CL請求書記載法人名称04,
5,登録名称5,1009105,TA105,CL請求書記載法人名称05,備考5
6,登録名称6,1009106,TA106,CL請求書記載法人名称06,
7,登録名称7,1009107,TA107,CL請求書記載法人名称07,備考7
8,登録名称8,1009108,TA108,CL請求書記載法人名称08,
9,登録名称9,1009109,TA109,CL請求書記載法人名称09,備考9
10,登録名称10,1009110,TA110,CL請求書記載法人名称10,
11,登録名称11,1009111,TA111,CL請求書記載法人名称11,備考11
12,登録名称12,1009112,TA112,CL請求書記載法人名称12,
13,登録名称13,1009113,TA113,CL請求書記載法人名称13,備考13
14,登録名称14,1009114,TA114,CL請求書記載法人名称14,
15,登録名称15,1009115,TA115,CL請求書記載法人名称15,備考15
